abbr,fips,full,geoid_data,NAMELSAD,total_pop,voting_pop,black_vote,hisp_vote,black_pop,hisp_total,prop_black_vote,prop_hisp_vote,total_pop_12,voting_pop_12,polls_2012,polls_2016,governor,conv_voting,shelby,prop_16,prop_12,change,prop
CA,06,California,05000US06057,Nevada County,98639,81091,433,6139,495,9019,0.0053396801124662415,0.0757050720795156,98521,79635,34,36,dem,57.9,FALSE,2252.527777777778,2342.205882352941,-89.67810457516316,-3.8287882910222235
CA,06,California,05000US06059,Orange County,3132211,2411039,40897,730782,51519,1070553,0.01696239670946841,0.3030983737716395,3021840,2285156,1078,1054,dem,57.9,FALSE,2287.513282732448,2119.8107606679037,167.70252206454416,7.911202508081662
CA,06,California,05000US06061,Placer County,370571,285430,4402,33211,5473,49904,0.015422345233507339,0.11635427250113864,350074,265098,163,122,dem,57.9,FALSE,2339.590163934426,1626.3680981595091,713.2220657749169,43.85366797233908
CA,06,California,05000US06063,Plumas County,18754,15646,26,1112,26,1578,0.0016617665857088073,0.07107247858877669,19926,16299,4,1,dem,57.9,FALSE,15646,4074.75,11571.25,283.97447696177676
CA,06,California,05000US06065,Riverside County,2323892,1710345,108495,730085,145025,1102968,0.0634345702182893,0.42686417067901505,2192982,1574238,425,381,dem,57.9,FALSE,4489.094488188976,3704.089411764706,785.0050764242706,21.19293000679154
CA,06,California,05000US06067,Sacramento County,1479300,1118403,109440,219017,146464,332967,0.09785381476981017,0.19583012563449848,1422348,1059884,444,515,dem,57.9,FALSE,2171.6563106796116,2387.126126126126,-215.46981544651453,-9.026327226210835
CA,06,California,05000US06069,San Benito County,58051,42343,392,22756,440,33864,0.009257728550173582,0.5374205889993624,55467,39455,14,21,dem,57.9,FALSE,2016.3333333333333,2818.214285714286,-801.8809523809525,-28.453512440332872
CA,06,California,05000US06071,San Bernardino County,2106754,1530272,130943,725849,180733,1089104,0.08556844796219235,0.4743267863490935,2041029,1447276,441,407,dem,57.9,FALSE,3759.882063882064,3281.8049886621316,478.07707521993234,14.567504067779065
CA,06,California,05000US06073,San Diego County,3253356,2525692,126418,743001,163928,1076319,0.050052817208115635,0.2941771997535725,3100500,2377016,1338,1378,dem,57.9,FALSE,1832.867924528302,1776.5440956651719,56.323828863130075,3.1704154712828205
CA,06,California,05000US06075,San Francisco County,850282,735654,38046,103430,45607,129898,0.05171724751037852,0.14059598670026943,807755,699402,575,559,dem,57.9,FALSE,1316.0178890876566,1216.351304347826,99.66658473983057,8.193897962173768
CA,06,California,05000US06077,San Joaquin County,714860,515339,36498,185078,49874,289329,0.07082328331447843,0.3591383535886087,687036,486168,287,298,dem,57.9,FALSE,1729.3255033557048,1693.9651567944252,35.360346561279584,2.087430571960154
CA,06,California,05000US06079,San Luis Obispo County,278680,227868,4848,42304,5516,61095,0.021275475275159304,0.18565134200502045,270121,219441,75,78,dem,57.9,FALSE,2921.3846153846152,2925.88,-4.4953846153848644,-0.15364213895938536
CA,06,California,05000US06081,San Mateo County,754748,592308,15540,134117,18533,189305,0.026236350007090906,0.22643118107471114,721183,561799,200,201,dem,57.9,FALSE,2946.805970149254,2808.995,137.810970149254,4.906059645861029
CA,06,California,05000US06083,Santa Barbara County,439395,340525,7204,131107,8878,195021,0.021155568607297556,0.38501431612950593,423594,326142,94,85,dem,57.9,FALSE,4006.176470588235,3469.595744680851,536.580725907384,15.465223195814737
CA,06,California,05000US06085,Santa Clara County,1885056,1449838,37342,339992,48003,496591,0.025755981013051113,0.2345034410741062,1788393,1359325,667,688,dem,57.9,FALSE,2107.3226744186045,2037.9685157421288,69.35415867647566,3.403102557314054
CA,06,California,05000US06087,Santa Cruz County,270931,216409,2019,61277,2374,89587,0.009329556534155233,0.28315365811957915,262340,207231,65,53,dem,57.9,FALSE,4083.188679245283,3188.1692307692306,895.0194484760523,28.073147430135165
CA,06,California,05000US06089,Shasta County,179228,140406,1368,10899,1759,16703,0.00974317336865946,0.0776248878253066,177693,137936,79,72,dem,57.9,FALSE,1950.0833333333333,1746.0253164556962,204.0580168776371,11.687002184588021
CA,06,California,05000US06093,Siskiyou County,43668,34827,559,3333,709,5100,0.01605076521089959,0.09570161081919201,44673,35478,19,22,dem,57.9,FALSE,1583.0454545454545,1867.2631578947369,-284.2177033492824,-15.221084513321962
CA,06,California,05000US06095,Solano County,429596,330756,47510,72600,60716,109287,0.14364062934610408,0.2194971519791024,414209,313062,108,73,dem,57.9,FALSE,4530.904109589041,2898.722222222222,1632.1818873668185,56.30694361999106
CA,06,California,05000US06097,Sonoma County,497776,395101,6178,85812,7848,129634,0.01563650813336337,0.21719003495308795,483456,377381,168,167,dem,57.9,FALSE,2365.874251497006,2246.315476190476,119.5587753065297,5.32243919314883
CA,06,California,05000US06099,Stanislaus County,530561,385001,10451,151011,14505,234995,0.027145384037963537,0.39223534484326017,515115,368026,217,108,dem,57.9,FALSE,3564.824074074074,1695.9723502304148,1868.851723843659,110.19352547756789
CA,06,California,05000US06101,Sutter County,95406,70226,1498,18013,1861,28485,0.021331130920172015,0.2565004414319483,94615,68698,26,22,dem,57.9,FALSE,3192.090909090909,2642.230769230769,549.86013986014,20.810451012203615
CA,06,California,05000US06103,Tehama County,63015,47856,313,9343,394,14959,0.0065404546974256106,0.1952315279170846,63200,47166,28,28,dem,57.9,FALSE,1709.142857142857,1684.5,24.64285714285711,1.4629182037908643
CA,06,California,05000US06105,Trinity County,13180,10903,133,677,144,950,0.012198477483261487,0.06209300192607539,13693,11041,5,5,dem,57.9,FALSE,2180.6,2208.2,-27.59999999999991,-1.2498867856172406
CA,06,California,05000US06107,Tulare County,455769,311824,5188,178939,7261,287144,0.016637590435630355,0.5738461439786546,441877,298478,59,51,dem,57.9,FALSE,6114.196078431372,5058.949152542373,1055.2469258889996,20.85901427490501
CA,06,California,05000US06109,Tuolumne County,53864,44881,1022,4619,1023,6233,0.022771328624585013,0.10291660167999822,55205,45592,24,24,dem,57.9,FALSE,1870.0416666666667,1899.6666666666667,-29.625,-1.5594841200210563
CA,06,California,05000US06111,Ventura County,843110,638942,11690,238990,14847,353232,0.018295870360690015,0.3740402102225241,822794,611782,284,280,dem,57.9,FALSE,2281.9357142857143,2154.1619718309857,127.77374245472856,5.931482596274966
CA,06,California,05000US06113,Yolo County,209671,164218,4100,44808,5161,65448,0.02496681240789682,0.2728568122861075,200873,155579,84,1,dem,57.9,FALSE,164218,1852.1309523809523,162365.86904761905,8766.435701476421
CT,09,Connecticut,05000US09001,Fairfield County,941618,719612,79999,122716,107282,175480,0.11116963030077319,0.17053078603469649,918892,692479,138,136,dem,7.7,FALSE,5291.264705882353,5017.963768115942,273.30093776641115,5.446450998768878
CT,09,Connecticut,05000US09003,Hartford County,895699,701114,90178,102153,120439,151355,0.12862102311464327,0.14570098443334464,893504,690443,156,158,dem,7.7,FALSE,4437.430379746836,4425.916666666667,11.5137130801686,0.2601430154996577
CT,09,Connecticut,05000US09005,Litchfield County,185141,149063,2344,6617,3154,10003,0.01572489484312002,0.044390626781964676,189277,148740,43,43,dem,7.7,FALSE,3466.5813953488373,3459.0697674418607,7.511627906976628,0.21715745596342273
CT,09,Connecticut,05000US09007,Middlesex County,164438,132799,6237,6281,8214,9276,0.04696571510327638,0.047297042899419425,165639,130802,26,27,dem,7.7,FALSE,4918.481481481482,5030.846153846154,-112.36467236467251,-2.233514381646676
CT,09,Connecticut,05000US09009,New Haven County,860874,679189,81702,96476,110829,144549,0.12029346765038892,0.14204588119065534,860995,669371,172,170,dem,7.7,FALSE,3995.2294117647057,3891.6918604651164,103.53755129958927,2.6604766002006888
CT,09,Connecticut,05000US09011,New London County,272033,216790,11892,17889,15526,26701,0.05485492873287513,0.08251764380275843,273723,214719,50,49,dem,7.7,FALSE,4424.285714285715,4294.38,129.90571428571457,3.0250167494659195
CT,09,Connecticut,05000US09013,Tolland County,151689,123540,3819,5536,4560,7629,0.030913064594463333,0.044811397118342235,152137,121655,24,24,dem,7.7,FALSE,5147.5,5068.958333333333,78.54166666666697,1.5494636471990526
CT,09,Connecticut,05000US09015,Windham County,117078,92811,2119,8274,2692,12735,0.0228313454224176,0.0891489155380289,118046,91792,28,25,dem,7.7,FALSE,3712.44,3278.285714285714,434.15428571428583,13.243332752309572
DE,10,Delaware,05000US10001,Kent County,171474,130984,31330,7373,42097,11326,0.23918951933060525,0.05628931777927075,162785,122410,44,40,dem,3.1,FALSE,3274.6,2782.0454545454545,492.5545454545454,17.704762682787354
DE,10,Delaware,05000US10003,New Castle County,551997,429598,99572,33665,134502,51912,0.2317794775580892,0.07836395886386809,539665,414753,187,177,dem,3.1,FALSE,2427.107344632768,2217.9304812834225,209.1768633493457,9.431173119019668
DE,10,Delaware,05000US10005,Sussex County,211224,169921,19548,11572,26428,19424,0.11504169584689355,0.06810223574484614,197681,157367,64,64,dem,3.1,FALSE,2655.015625,2458.859375,196.15625,7.977530231878347
IL,17,Illinois,05000US17001,Adams County,66949,51765,1773,602,2541,959,0.03425094175601275,0.01162947937795808,67098,51706,34,34,rep,6.7,FALSE,1522.5,1520.764705882353,1.7352941176470722,0.11410668007581412
IL,17,Illinois,05000US17003,Alexander County,7051,5368,1709,80,2388,127,0.3183681073025335,0.014903129657228018,8147,6270,9,9,rep,6.7,FALSE,596.4444444444445,696.6666666666666,-100.22222222222217,-14.385964912280697
IL,17,Illinois,05000US17005,Bond County,17137,13735,898,503,905,598,0.06538041499817983,0.036621769202766656,17762,13731,17,15,rep,6.7,FALSE,915.6666666666666,807.7058823529412,107.96078431372541,13.3663486514699
IL,17,Illinois,05000US17007,Boone County,53656,39444,721,6680,1149,11020,0.018279079200892404,0.16935402089037624,54141,38604,33,30,rep,6.7,FALSE,1314.8,1169.8181818181818,144.9818181818182,12.39353434877215
IL,17,Illinois,05000US17009,Brown County,6836,5791,1255,249,1262,249,0.2167155931618028,0.04299775513728199,6913,5809,10,9,rep,6.7,FALSE,643.4444444444445,580.9,62.54444444444448,10.766817773187206
IL,17,Illinois,05000US17011,Bureau County,33822,26373,158,1792,236,2874,0.005990975619004284,0.06794828043832708,34798,26815,38,37,rep,6.7,FALSE,712.7837837837837,705.6578947368421,7.125889046941666,1.009822054013736
IL,17,Illinois,05000US17013,Calhoun County,4962,3918,7,24,7,52,0.0017866258295048494,0.006125574272588055,5065,3958,5,5,rep,6.7,FALSE,783.6,791.6,-8,-1.010611419909045
